seed,chunk_x,chunk_z,total_cells,open_cells,open_fraction,tile_entropy,isovist_area_mean,isovist_area_var,perimeter_mean,perimeter_var,occlusivity_mean,occlusivity_var,jaggedness_mean,jaggedness_var,clustering_mean,clustering_var,drift_mean,drift_var
167,1,1,2500,2127,0.8508,0.6402,268.063,29396.941,127.398,4216.871,0.3574,0.02585,66.3158,1303.4871,0.78397,0.018842,7.1207,15.0564
168,1,1,2500,1991,0.7964,0.5786,285.826,17077.139,120.313,1227.023,0.3566,0.02200,59.8109,1062.8097,0.77756,0.019278,7.3943,14.4003
169,1,1,2500,1929,0.7716,0.7071,188.663,8106.152,104.867,1972.702,0.3317,0.02533,60.9998,736.2815,0.76479,0.020767,6.5835,15.4372
170,1,1,2500,1863,0.7452,0.6823,169.096,8757.099,93.768,1336.561,0.2648,0.02696,61.7966,1383.6770,0.82933,0.024881,6.5646,19.2064
171,1,1,2500,1718,0.6872,0.6955,187.973,9008.644,92.163,1254.884,0.2414,0.02147,53.1514,1022.5587,0.84297,0.020034,6.5258,16.8728
172,1,1,2500,2010,0.8040,0.6244,267.563,25338.809,120.157,2282.505,0.3234,0.02260,62.4013,877.4046,0.81780,0.017144,7.7354,19.4734
173,1,1,2500,1931,0.7724,0.7122,257.821,18244.244,132.157,3315.162,0.3692,0.02586,75.7597,1475.6444,0.75859,0.022124,7.8535,17.4023
174,1,1,2500,1763,0.7052,0.5795,311.995,20352.561,131.629,1406.580,0.3550,0.00983,62.6729,614.6488,0.78718,0.012166,8.4865,20.7258
175,1,1,2500,2028,0.8112,0.7256,247.234,23644.922,142.872,4815.662,0.4319,0.02603,88.5925,1525.9121,0.70215,0.024868,7.0565,15.7008
176,1,1,2500,2144,0.8576,0.6641,246.715,27780.971,109.746,2687.378,0.3025,0.02106,56.4896,1005.3544,0.82669,0.017263,6.6959,16.5225
177,1,1,2500,2058,0.8232,0.7219,294.115,21402.148,122.033,2181.575,0.3198,0.02217,59.6055,1290.8755,0.79903,0.025958,7.5094,15.6154
178,1,1,2500,2104,0.8416,0.4866,186.335,8518.808,88.202,1041.577,0.2500,0.01370,48.3343,883.4946,0.82446,0.018328,6.0567,14.2656
179,1,1,2500,2251,0.9004,0.4684,520.607,54208.117,150.785,1625.980,0.2987,0.01433,49.8263,360.4834,0.86551,0.010525,10.4044,28.1574
180,1,1,2500,2132,0.8528,0.6898,194.584,9498.873,118.968,2684.091,0.4051,0.02417,79.3318,1894.0400,0.70771,0.025923,6.1861,11.6003
181,1,1,2500,2176,0.8704,0.6482,289.527,31471.354,132.742,2675.539,0.3866,0.01071,68.5363,874.0418,0.76894,0.016155,7.3279,16.3559
182,1,1,2500,1578,0.6312,0.4771,428.864,29961.893,142.115,2585.705,0.3183,0.02796,52.1850,767.7296,0.81228,0.023725,8.0827,17.2342
183,1,1,2500,2109,0.8436,0.5005,527.342,95357.258,172.230,4999.792,0.3968,0.01147,63.9642,896.1481,0.76563,0.016149,9.2528,21.0518
184,1,1,2500,2185,0.8740,0.5959,347.441,36190.379,122.421,2029.521,0.3141,0.02454,57.5025,1681.0734,0.81894,0.020026,7.6831,15.7503
185,1,1,2500,1953,0.7812,0.7260,327.113,47280.949,155.919,7847.857,0.4122,0.03755,80.1627,2163.9363,0.73673,0.022412,7.6055,21.5444
186,1,1,2500,1867,0.7468,0.7033,327.595,37234.520,107.960,1861.151,0.2408,0.02351,46.6694,1067.4058,0.88526,0.015605,7.7597,17.6749
187,1,1,2500,2134,0.8536,0.5762,320.031,25309.701,123.619,2467.666,0.2512,0.01925,54.1309,809.1941,0.84215,0.017192,8.7867,31.6679
188,1,1,2500,2118,0.8472,0.3967,455.381,117289.047,157.467,6444.681,0.3437,0.02407,64.7868,786.0615,0.82218,0.009550,8.9974,26.5752
189,1,1,2500,2111,0.8444,0.7845,283.227,13431.280,154.515,3519.527,0.4271,0.02030,88.0984,1610.4393,0.70232,0.021162,7.4286,18.3799
190,1,1,2500,1673,0.6692,0.7607,184.473,7522.623,97.244,1632.311,0.3113,0.02439,56.1519,817.0727,0.79402,0.022213,6.4157,15.2579
191,1,1,2500,1799,0.7196,0.6823,115.835,3141.342,79.223,1295.701,0.2722,0.02318,60.1890,1602.6737,0.81829,0.021009,5.5839,15.2033
192,1,1,2500,1499,0.5996,0.7136,102.418,1979.304,67.664,961.985,0.2186,0.01565,49.0068,952.9561,0.85665,0.019252,5.0682,14.7734
193,1,1,2500,1810,0.7240,0.6971,239.323,18245.279,114.954,2258.858,0.3484,0.01885,64.1282,1272.0065,0.78442,0.017882,6.9439,17.8252
194,1,1,2500,1833,0.7332,0.5503,159.432,8351.667,85.189,1434.009,0.2317,0.01452,50.5428,801.9459,0.84092,0.016755,6.3345,16.9797
195,1,1,2500,2190,0.8760,0.6799,310.512,24976.287,151.420,5406.897,0.3998,0.02764,77.6616,1710.3317,0.73453,0.023422,7.6253,18.6607
196,1,1,2500,2198,0.8792,0.5765,352.313,36288.238,113.860,1249.044,0.2511,0.02845,49.5180,1224.4033,0.85565,0.024329,7.8615,15.8272
197,1,1,2500,2192,0.8768,0.6638,479.355,85733.055,162.215,6329.741,0.3244,0.03461,63.2976,1251.6511,0.82250,0.020374,9.7953,26.8088
198,1,1,2500,2129,0.8516,0.7394,188.042,8672.914,94.797,1752.776,0.2791,0.02597,54.7301,1264.7294,0.80944,0.023347,5.8778,11.5589
199,1,1,2500,1768,0.7072,0.6400,235.258,14005.209,97.894,1036.732,0.2752,0.01252,47.4735,555.9864,0.83897,0.011317,6.7755,13.4995
200,1,1,2500,1611,0.6444,0.6818,298.328,11061.457,129.034,2162.136,0.3148,0.02551,59.4746,756.8123,0.81164,0.017545,8.3361,21.4247
