seed,chunk_x,chunk_z,total_cells,open_cells,open_fraction,tile_entropy,isovist_area_mean,isovist_area_var,perimeter_mean,perimeter_var,occlusivity_mean,occlusivity_var,jaggedness_mean,jaggedness_var,clustering_mean,clustering_var,drift_mean,drift_var
179,1,1,2500,2241,0.8964,0.4712,504.802,57117.504,151.760,1807.994,0.3062,0.01734,52.8950,456.7697,0.85560,0.014111,10.4510,28.0707
180,1,1,2500,2116,0.8464,0.6910,187.074,9083.706,119.777,2886.321,0.4150,0.02358,82.9063,1904.0878,0.70270,0.025803,6.0737,11.7030
181,1,1,2500,2163,0.8652,0.6490,242.123,14403.612,134.421,3112.576,0.4175,0.01384,78.5477,1173.7185,0.73464,0.016880,6.7253,12.7805
182,1,1,2500,1563,0.6252,0.4773,406.100,34841.297,135.180,2497.851,0.3152,0.02813,51.6232,798.4859,0.82085,0.021598,8.0407,17.4573
183,1,1,2500,2097,0.8388,0.5006,513.833,101941.242,174.812,5225.609,0.4169,0.01062,69.5187,1094.5728,0.74874,0.017286,9.0891,21.7569
184,1,1,2500,2159,0.8636,0.5976,295.211,32563.354,118.755,2212.199,0.3286,0.03120,66.6420,2413.9929,0.79380,0.026564,7.2039,14.7353
185,1,1,2500,1916,0.7664,0.7246,230.437,18784.398,131.775,4619.547,0.4136,0.02799,80.8968,2118.9648,0.71285,0.023600,6.5377,14.6262
186,1,1,2500,1867,0.7468,0.7033,327.595,37234.520,107.960,1861.151,0.2408,0.02351,46.6694,1067.4058,0.88526,0.015605,7.7597,17.6749
187,1,1,2500,2076,0.8304,0.5835,266.061,19952.531,126.889,2991.810,0.2973,0.01749,68.8449,1405.7173,0.79489,0.017695,8.3513,28.1719
188,1,1,2500,2109,0.8436,0.3989,453.423,119535.148,157.404,6502.838,0.3456,0.02381,65.4737,751.4846,0.81832,0.008927,9.0000,26.7847
