seed,chunk_x,chunk_z,total_cells,open_cells,open_fraction,tile_entropy,isovist_area_mean,isovist_area_var,perimeter_mean,perimeter_var,occlusivity_mean,occlusivity_var,jaggedness_mean,jaggedness_var,clustering_mean,clustering_var,drift_mean,drift_var
131,1,1,2500,1920,0.7680,0.5606,409.174,57814.297,141.594,3572.859,0.3285,0.01755,55.3238,711.2952,0.78833,0.018192,9.1768,24.6887
132,1,1,2500,2109,0.8436,0.5503,249.459,18845.074,126.145,2978.512,0.3549,0.02281,70.1453,1312.6039,0.78189,0.018901,7.6199,23.1468
133,1,1,2500,2219,0.8876,0.2734,770.012,116164.852,361.079,18233.928,0.5702,0.04279,176.0553,2928.5608,0.64580,0.018917,12.3165,31.5238
134,1,1,2500,2028,0.8112,0.7799,245.004,17408.195,133.634,3110.577,0.3817,0.03072,86.5248,2428.9365,0.73809,0.028617,7.7652,21.6576
135,1,1,2500,1939,0.7756,0.7260,157.899,3138.501,96.428,973.055,0.3585,0.01108,63.4424,922.3308,0.75601,0.017447,5.6826,10.4082
136,1,1,2500,1496,0.5984,0.6927,148.091,5857.119,92.416,1686.485,0.3115,0.02539,63.3789,1170.7938,0.80003,0.022179,5.9751,15.0091
137,1,1,2500,1929,0.7716,0.7234,219.337,8305.797,115.682,1764.743,0.3290,0.01724,65.2815,896.6055,0.78226,0.020506,6.9939,16.4625
138,1,1,2500,2190,0.8760,0.5514,261.921,15023.781,114.024,1217.999,0.3179,0.00801,54.1494,510.8479,0.80755,0.014763,7.4244,17.8551
139,1,1,2500,1948,0.7792,0.6903,218.696,13004.578,103.531,908.549,0.3350,0.01990,58.0133,1005.9779,0.79704,0.019596,6.6873,14.7678
140,1,1,2500,1758,0.7032,0.4568,580.468,132559.016,202.435,10865.615,0.4103,0.03475,79.5012,2191.4045,0.79927,0.012596,10.6996,40.9977
141,1,1,2500,1966,0.7864,0.7553,323.745,52946.090,141.282,4855.283,0.3774,0.02591,72.3025,1284.7050,0.76524,0.020597,8.2037,19.5845
142,1,1,2500,2050,0.8200,0.7326,160.679,5068.513,90.663,1396.258,0.2752,0.02645,57.6758,1222.2875,0.81646,0.024051,5.9285,14.0755
143,1,1,2500,1752,0.7008,0.7660,237.618,18807.463,132.597,3673.689,0.3849,0.02767,80.4179,1577.0881,0.74601,0.024001,7.2901,18.1354
144,1,1,2500,2112,0.8448,0.5293,205.000,11229.197,111.810,2243.923,0.3431,0.02097,65.9754,1095.8385,0.77883,0.020649,6.6316,13.8175
145,1,1,2500,1813,0.7252,0.6966,148.346,5611.431,94.467,1819.154,0.3211,0.02258,66.2861,1643.2079,0.78290,0.020715,5.9764,15.2661
146,1,1,2500,1820,0.7280,0.7379,229.310,16313.051,109.173,1803.013,0.3515,0.01436,58.4371,612.7756,0.79626,0.014170,7.2870,17.5367
147,1,1,2500,1995,0.7980,0.6648,232.336,21412.994,106.441,2231.538,0.3126,0.02256,55.6349,921.7210,0.80908,0.022380,7.0614,20.0321
148,1,1,2500,1854,0.7416,0.6092,227.142,18694.992,120.961,2075.620,0.3637,0.02020,76.3201,1818.0223,0.76567,0.019595,7.5183,21.9024
149,1,1,2500,1860,0.7440,0.7595,142.567,5793.038,89.422,1697.263,0.3305,0.01323,60.1672,973.5120,0.77256,0.019098,5.6486,13.3658
150,1,1,2500,1302,0.5208,0.5415,380.800,38876.895,144.745,2394.179,0.3217,0.01624,63.9845,722.5395,0.78643,0.018767,8.9381,28.2696
151,1,1,2500,1939,0.7756,0.6498,227.156,11462.878,111.194,2008.979,0.3272,0.02013,58.1573,758.0920,0.79095,0.022159,6.7646,10.3258
152,1,1,2500,2048,0.8192,0.7326,232.659,15657.604,114.443,1997.720,0.3478,0.01575,62.4286,988.7707,0.76157,0.019965,6.9620,13.9172
153,1,1,2500,1756,0.7024,0.6986,154.265,4485.175,97.358,1285.686,0.3594,0.01442,66.6674,990.9849,0.74565,0.019252,5.5797,11.8277
154,1,1,2500,1981,0.7924,0.6847,197.216,8891.481,115.122,2487.216,0.3680,0.01744,73.4828,1459.2648,0.76048,0.023445,6.5304,14.9829
155,1,1,2500,2046,0.8184,0.6684,177.225,4599.205,96.705,1660.002,0.2730,0.02776,62.1595,1812.9399,0.82464,0.027647,6.6304,15.2623
156,1,1,2500,2031,0.8124,0.7412,164.226,5945.994,92.855,1311.551,0.3001,0.02102,58.6586,1029.5854,0.81842,0.022006,5.9398,13.6064
157,1,1,2500,1681,0.6724,0.6403,193.848,7663.738,111.067,1665.108,0.2847,0.01946,69.4377,1039.9263,0.81192,0.021851,7.7876,27.4043
158,1,1,2500,1713,0.6852,0.6339,143.663,2529.781,86.741,925.136,0.2737,0.01688,56.8323,951.8827,0.81623,0.017923,6.3355,19.2067
159,1,1,2500,2063,0.8252,0.6360,237.549,14542.179,142.943,3762.493,0.4358,0.02554,91.2820,1773.5717,0.70276,0.022976,7.0143,14.1605
160,1,1,2500,1550,0.6200,0.6914,142.459,3324.137,81.205,1021.225,0.2551,0.01745,49.4548,614.6146,0.83403,0.016384,5.9489,15.2931
161,1,1,2500,2036,0.8144,0.7104,307.990,15298.293,110.780,897.163,0.2716,0.01374,46.1143,721.8557,0.86636,0.013700,7.7805,14.2656
162,1,1,2500,2252,0.9008,0.3966,464.019,54692.254,129.566,1393.889,0.2769,0.00994,43.9054,617.5646,0.86609,0.009762,8.9646,18.3720
163,1,1,2500,2209,0.8836,0.3805,300.339,19270.113,115.738,1914.643,0.3000,0.02535,51.8362,880.9702,0.80363,0.023630,7.1874,12.4348
164,1,1,2500,2150,0.8600,0.6888,321.120,18145.754,156.412,2783.982,0.4497,0.01315,82.9726,1273.2125,0.67734,0.016318,7.7885,13.2971
165,1,1,2500,2135,0.8540,0.6900,248.933,21639.957,119.405,3025.988,0.3481,0.02638,66.8315,1387.6376,0.79376,0.021019,6.9956,13.4397
166,1,1,2500,1910,0.7640,0.7031,252.095,15545.817,112.242,1185.754,0.3305,0.01456,58.8306,970.0511,0.81282,0.013154,7.4769,19.0753
167,1,1,2500,2118,0.8472,0.6416,238.530,18866.273,115.663,2777.986,0.3425,0.02325,61.6276,1040.9915,0.79352,0.018615,6.7783,13.3647
168,1,1,2500,1951,0.7804,0.5567,246.166,17143.564,114.206,1545.695,0.3405,0.02990,64.0118,1314.1918,0.77347,0.026146,6.7961,14.9324
169,1,1,2500,1923,0.7692,0.7073,179.537,7305.982,102.878,2007.518,0.3295,0.02590,61.8652,862.8562,0.76354,0.022044,6.4096,15.3322
170,1,1,2500,1871,0.7484,0.6818,172.634,8258.462,93.324,1323.923,0.2572,0.02710,59.8657,1424.0631,0.83903,0.024563,6.6630,18.7180
171,1,1,2500,1699,0.6796,0.6720,182.892,9390.915,91.802,1305.531,0.2323,0.02562,54.6286,1103.3817,0.85016,0.018527,6.6164,17.3567
172,1,1,2500,2013,0.8052,0.6280,273.091,26104.668,124.702,2561.528,0.3434,0.02558,65.4002,911.5730,0.80049,0.020445,7.8201,19.3591
173,1,1,2500,1925,0.7700,0.7124,236.235,14327.371,133.001,3339.706,0.3955,0.02447,81.2957,1460.4774,0.73141,0.022656,7.5826,15.7883
174,1,1,2500,1764,0.7056,0.5797,315.286,19390.412,133.666,1343.525,0.3593,0.00923,63.7832,643.4185,0.78513,0.011964,8.6812,20.7530
175,1,1,2500,2024,0.8096,0.7259,232.719,19087.129,135.880,3830.394,0.4275,0.02711,85.4738,1375.3867,0.69691,0.024982,6.8576,14.5951
176,1,1,2500,2154,0.8616,0.6458,258.333,25062.199,123.459,4201.415,0.3520,0.03125,62.8906,1012.7302,0.75904,0.024127,6.8042,16.4999
177,1,1,2500,2047,0.8188,0.7235,289.679,21592.266,119.519,2130.685,0.3166,0.01834,57.1128,983.2166,0.80079,0.022890,7.3633,15.8626
178,1,1,2500,2106,0.8424,0.4861,197.261,8288.499,94.080,963.636,0.2704,0.01541,52.0656,939.9255,0.81890,0.019123,6.5043,14.4095
179,1,1,2500,2232,0.8928,0.4751,525.173,65003.801,141.137,1623.448,0.2563,0.01633,46.1567,438.2714,0.87352,0.010658,10.4912,29.7292
180,1,1,2500,2130,0.8520,0.7043,193.354,10065.478,120.076,2900.796,0.4077,0.02646,81.1316,1970.3420,0.70668,0.027443,6.1566,11.6231
181,1,1,2500,2161,0.8644,0.6502,222.895,12326.787,117.996,1599.427,0.3841,0.01477,69.6178,973.6121,0.76626,0.019461,6.5839,10.9442
182,1,1,2500,1578,0.6312,0.4771,428.864,29961.893,142.115,2585.705,0.3183,0.02796,52.1850,767.7296,0.81228,0.023725,8.0827,17.2342
183,1,1,2500,2094,0.8376,0.5013,457.277,83445.414,176.590,7878.318,0.4142,0.01843,72.7797,1131.1222,0.75456,0.014401,8.4727,21.3345
184,1,1,2500,2149,0.8596,0.5989,329.783,41757.465,120.583,2213.845,0.3131,0.02553,60.8822,1736.3726,0.80815,0.021377,7.5627,16.6810
185,1,1,2500,1954,0.7816,0.7260,327.716,47070.320,155.293,7903.121,0.4083,0.03824,79.3757,2202.0940,0.73840,0.022652,7.6059,21.5108
186,1,1,2500,1820,0.7280,0.6980,263.837,32652.713,97.996,1011.949,0.2440,0.03317,54.4624,1632.9713,0.83691,0.025222,7.0484,15.9752
187,1,1,2500,2134,0.8536,0.5762,320.031,25309.701,123.619,2467.666,0.2512,0.01925,54.1309,809.1941,0.84215,0.017192,8.7867,31.6679
188,1,1,2500,2118,0.8472,0.3967,455.381,117289.047,157.467,6444.681,0.3437,0.02407,64.7868,786.0615,0.82218,0.009550,8.9974,26.5752
189,1,1,2500,2109,0.8436,0.7657,322.258,24429.059,158.836,4486.104,0.4268,0.01779,82.0335,1282.8208,0.70934,0.020049,7.4724,18.6630
190,1,1,2500,1668,0.6672,0.7634,181.416,7839.498,95.700,1706.795,0.3048,0.02805,56.1685,951.1405,0.79801,0.022939,6.3725,14.8464
191,1,1,2500,1799,0.7196,0.6823,115.835,3141.342,79.223,1295.701,0.2722,0.02318,60.1890,1602.6737,0.81829,0.021009,5.5839,15.2033
192,1,1,2500,1500,0.6000,0.7127,99.121,1300.403,66.743,822.132,0.2181,0.01778,50.0149,1203.7328,0.85778,0.021707,4.9980,13.0052
193,1,1,2500,1818,0.7272,0.6987,242.724,17699.146,115.620,2153.654,0.3497,0.01831,63.8405,1261.8301,0.78349,0.017144,6.9714,17.4371
194,1,1,2500,1834,0.7336,0.5509,160.611,8573.638,85.918,1573.930,0.2251,0.01497,50.9893,852.3349,0.84570,0.017281,6.4289,17.5680
195,1,1,2500,2192,0.8768,0.6816,317.855,26078.719,154.024,5544.940,0.4049,0.02735,78.6176,1757.7928,0.73113,0.023256,7.7328,18.8564
196,1,1,2500,2181,0.8724,0.5814,359.071,39283.984,123.847,2433.658,0.2863,0.03086,55.9153,1779.5485,0.83989,0.027288,7.9363,17.0931
197,1,1,2500,2191,0.8764,0.6636,480.549,85736.258,163.648,6416.833,0.3264,0.03509,63.8986,1236.4210,0.82282,0.020523,9.8474,26.9310
198,1,1,2500,2129,0.8516,0.7394,188.116,8652.507,94.793,1734.548,0.2789,0.02571,54.6680,1233.5084,0.80909,0.023340,5.8832,11.6299
199,1,1,2500,1776,0.7104,0.6406,251.431,15437.964,104.213,1193.985,0.2909,0.01260,50.0752,613.6901,0.83046,0.010682,7.0505,14.1324
200,1,1,2500,1611,0.6444,0.6818,298.328,11061.457,129.034,2162.136,0.3148,0.02551,59.4746,756.8123,0.81164,0.017545,8.3361,21.4247
